ods,path,Direction,status,price,time
od_1105,95,NB,open,4.9,26-09-2021 11:19
od_1106,95,NB,open,1.5,26-09-2021 11:20
od_1107,95,NB,open,2.95,26-09-2021 11:20
od_1108,95,NB,open,2.95,26-09-2021 11:20
od_1109,95,NB,open,3.7,26-09-2021 11:19
od_1110,95,NB,open,4.3,26-09-2021 11:19
od_1111,95,NB,open,4.3,26-09-2021 11:19
od_1112,95,NB,open,1.5,26-09-2021 11:20
od_1113,95,NB,open,2.2,26-09-2021 11:20
od_1114,95,NB,open,2.2,26-09-2021 11:20
od_1115,95,NB,open,3.7,26-09-2021 11:19
od_1116,95,NB,open,3.95,26-09-2021 11:19
od_1117,95,NB,open,4.2,26-09-2021 11:19
od_1118,95,NB,open,1.95,26-09-2021 11:20
od_1119,95,NB,open,1.95,26-09-2021 11:20
od_1120,95,NB,open,3.45,26-09-2021 11:19
od_1121,95,NB,open,3.7,26-09-2021 11:19
od_1122,95,NB,open,3.95,26-09-2021 11:19
od_1123,95,NB,open,1.6,26-09-2021 11:20
od_1124,95,NB,open,1.85,26-09-2021 11:20
od_1125,95,NB,open,3.45,26-09-2021 11:19
od_1126,95,NB,open,3.7,26-09-2021 11:19
od_1127,95,NB,open,3.95,26-09-2021 11:19
od_1128,95,NB,open,1.6,26-09-2021 11:20
od_1129,95,NB,open,1.85,26-09-2021 11:20
od_1130,95,NB,open,3.45,26-09-2021 11:19
od_1131,95,NB,open,3.7,26-09-2021 11:19
od_1132,95,NB,open,3.95,26-09-2021 11:19
od_1133,95,NB,open,1.5,26-09-2021 11:20
od_1134,95,NB,open,3.1,26-09-2021 11:19
od_1135,95,NB,open,3.35,26-09-2021 11:19
od_1136,95,NB,open,3.6,26-09-2021 11:19
od_1137,95,null,closed,1.6,26-09-2021 11:20
od_1138,95,null,closed,1.85,26-09-2021 11:20
od_1139,95,null,closed,2.1,26-09-2021 11:20
od_1140,95,NB,open,1.5,26-09-2021 11:20
od_1141,95,NB,open,1.75,26-09-2021 11:20
od_1142,95,NB,open,1.5,26-09-2021 11:20
od_1143,95,NB,open,1.75,26-09-2021 11:20
od_1144,95,NB,open,1.5,26-09-2021 11:20
od_1145,95,NB,open,1.75,26-09-2021 11:20
od_1146,95,NB,open,1.5,26-09-2021 11:20
od_1147,95,SB,closed,2,26-09-2021 05:13
od_1148,95,SB,closed,2.25,26-09-2021 05:13
od_1149,95,SB,closed,2.5,26-09-2021 05:13
od_1150,95,SB,closed,2,26-09-2021 11:19
od_1151,95,SB,closed,3.5,26-09-2021 11:19
od_1152,95,SB,closed,3.5,26-09-2021 11:19
od_1153,95,SB,closed,3.75,26-09-2021 11:19
od_1154,95,SB,closed,4,26-09-2021 11:19
od_1155,95,SB,closed,5.5,26-09-2021 11:19
od_1156,95,SB,closed,5.75,26-09-2021 11:19
od_1157,95,SB,closed,6.45,26-09-2021 11:19
od_1158,95,SB,closed,2,26-09-2021 05:13
od_1159,95,SB,closed,2.25,26-09-2021 05:13
od_1160,95,SB,closed,1.75,26-09-2021 11:19
od_1161,95,SB,closed,3.25,26-09-2021 11:19
od_1162,95,SB,closed,3.25,26-09-2021 11:19
od_1163,95,SB,closed,3.5,26-09-2021 11:19
od_1164,95,SB,closed,3.75,26-09-2021 11:19
od_1165,95,SB,closed,5.25,26-09-2021 11:19
od_1166,95,SB,closed,5.5,26-09-2021 11:19
od_1167,95,SB,closed,5.85,26-09-2021 11:19
od_1168,95,SB,closed,1.6,26-09-2021 11:19
od_1169,95,SB,closed,2,26-09-2021 05:13
od_1170,95,SB,closed,2.25,26-09-2021 05:13
od_1171,95,SB,closed,2.5,26-09-2021 05:13
od_1172,95,SB,closed,3.5,26-09-2021 11:19
od_1173,95,SB,closed,3.9,26-09-2021 11:19
od_1174,95,SB,closed,5.3,26-09-2021 11:19
od_1175,95,SB,closed,1.5,26-09-2021 11:19
od_1176,95,SB,closed,2,26-09-2021 05:13
od_1177,95,SB,closed,2.25,26-09-2021 05:13
od_1178,95,SB,closed,2.5,26-09-2021 05:13
od_1179,95,SB,closed,3.5,26-09-2021 11:19
